USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  1.5  0.9  26432 15860 ?        Ss   12:08   0:37 /usr/lib/systemd/systemd --switched-root --system --deserialize=51 auto automatic-ubiquity noprompt
root          90  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/36-pciehp]
root          91  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/37-pciehp]
root          92  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/38-pciehp]
root          93  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/39-pciehp]
root          94  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/40-pciehp]
root          95  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/41-pciehp]
root          96  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/42-pciehp]
root          97  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/43-pciehp]
root          98  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/44-pciehp]
root          99  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/45-pciehp]
root         100  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/46-pciehp]
root         101  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/47-pciehp]
root         102  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/48-pciehp]
root         103  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/49-pciehp]
root         104  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/50-pciehp]
root         105  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/51-pciehp]
root         106  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/52-pciehp]
root         107  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/53-pciehp]
root         108  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/54-pciehp]
root         109  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/55-pciehp]
root         110  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-acpi_thermal_pm]
root         111  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_0]
root         112  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_0]
root         113  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_1]
root         114  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_1]
root         119  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-mld]
