USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  2.1  0.9  26040 17036 ?        Ss   17:28   0:05 /usr/lib/systemd/systemd --switched-root --system --deserialize=51 auto automatic-ubiquity noprompt
root          74  0.0  0.0      0     0 ?        S    17:28   0:00 [kswapd0]
root          75  0.0  0.0      0     0 ?        S    17:28   0:00 [ecryptfs-kthread]
root          76  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-kthrotld]
root          77  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/24-pciehp]
root          78  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/25-pciehp]
root          79  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/26-pciehp]
root          80  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/27-pciehp]
root          81  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/28-pciehp]
root          82  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/29-pciehp]
root          83  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/30-pciehp]
root          84  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/31-pciehp]
root          85  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/32-pciehp]
root          86  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/33-pciehp]
root          87  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/34-pciehp]
root          88  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/35-pciehp]
root          89  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/36-pciehp]
root          90  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/37-pciehp]
root          91  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/38-pciehp]
root          92  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/39-pciehp]
root          93  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/40-pciehp]
root          94  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/41-pciehp]
root          95  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/42-pciehp]
root          96  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/43-pciehp]
root          97  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/44-pciehp]
root          98  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/45-pciehp]
root          99  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/46-pciehp]
root         100  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/47-pciehp]
root         101  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/48-pciehp]
root         102  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/49-pciehp]
root         103  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/50-pciehp]
root         104  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/51-pciehp]
root         105  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/52-pciehp]
root         106  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/53-pciehp]
root         107  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/54-pciehp]
root         108  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/55-pciehp]
root         109  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-acpi_thermal_pm]
root         110  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_0]
